Product_ID,Item_Weight,Item_Type,Item_MRP,Packaging_Type,Packaging_Weight_kg,Supplier_Location,Warehouse_Location,Distance_km,Transport_Mode,Production_Emission_Factor,Packaging_Emission_Factor,Delivery_Emission_Factor,Product_Emissions,Packaging_Emissions,Delivery_Emissions,Total_Emissions
FDR27,15.1,Meat,131.9942,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,407.7,0.108,12,419.808
NCK42,7.475,Household,217.6192,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,29.9,0.135,18,48.035
FDZ12,,Baking Goods,144.847,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,0,0.054,6,6.054
FDM60,10.8,Baking Goods,41.5138,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,21.6,0.054,6,27.654
NCI31,20,Others,35.019,Mixed (Default: Plastic),0.03,Delhi,Delhi,,Air,2,2.7,0.5,40,0.081,#VALUE!,#VALUE!
FDX39,14.3,Meat,210.3586,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,386.1,0.108,12,398.208
NCV05,10.1,Health and Hygiene,153.4656,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,30.3,0.081,18,48.381
FDX16,17.85,Frozen Foods,149.105,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,53.55,0.081,52.5,106.131
DRK12,9.5,Soft Drinks,32.89,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,14.25,0.135,6,20.385
NCA05,20.75,Health and Hygiene,146.6734,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,62.25,0.081,18,80.331
DRG51,12.1,Dairy,164.6526,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,33.88,0.081,45,78.961
NCR30,20.6,Household,74.4696,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,82.4,0.135,18,100.535
NCE31,7.67,Household,33.1216,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,30.68,0.135,18,48.815
FDM56,,Fruits and Vegetables,111.1912,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,0,0.027,30,30.027
FDP24,20.6,Baking Goods,119.5756,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,41.2,0.054,6,47.254
DRM37,15.35,Soft Drinks,196.6768,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,23.025,0.135,6,29.16
FDN56,5.46,Fruits and Vegetables,142.6786,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,3.822,0.027,30,33.849
DRE60,9.395,Soft Drinks,224.772,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,14.0925,0.135,6,20.2275
FDW49,,Canned,180.6002,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,0,0.41,6,6.41
FDM20,10,Fruits and Vegetables,243.8144,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,7,0.027,30,37.027
FDK15,,Meat,98.2042,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,0,0.108,12,12.108
FDK48,7.445,Baking Goods,73.3354,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,14.89,0.054,6,20.944
FDO49,,Breakfast,49.7008,Plastic Pouch/Box,0.02,Karnataka,Bangalore,50,Truck,1.8,2.7,0.12,0,0.054,6,6.054
FDC09,15.5,Fruits and Vegetables,102.1332,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,10.85,0.027,30,40.877
NCZ41,19.85,Health and Hygiene,126.1704,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,59.55,0.081,18,77.631
FDP19,11.5,Fruits and Vegetables,128.1652,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,8.05,0.027,30,38.077
FDQ24,,Baking Goods,250.4724,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,0,0.054,6,6.054
DRL11,10.5,Hard Drinks,159.0946,Glass Bottle,0.2,Goa,Mumbai,600,Train,2,0.85,0.04,21,0.17,24,45.17
FDO36,19.7,Baking Goods,177.766,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,39.4,0.054,6,45.454
FDN52,,Frozen Foods,86.9198,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,0,0.081,52.5,52.581
FDF21,10.3,Fruits and Vegetables,188.653,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,7.21,0.027,30,37.237
FDU40,20.85,Frozen Foods,192.7478,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,62.55,0.081,52.5,115.131
FDS51,13.35,Meat,61.4194,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,360.45,0.108,12,372.558
FDE45,12.1,Fruits and Vegetables,177.8002,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,8.47,0.027,30,38.497
FDX50,20.1,Dairy,108.7228,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,56.28,0.081,45,101.361
NCN14,,Others,184.2608,Mixed (Default: Plastic),0.03,Delhi,Delhi,,Air,2,2.7,0.5,0,0.081,#VALUE!,#VALUE!
FDQ21,21.25,Snack Foods,120.8756,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,53.125,0.054,6,59.179
FDV57,,Snack Foods,181.766,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,0,0.054,6,6.054
FDB44,6.655,Fruits and Vegetables,209.2586,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,4.6585,0.027,30,34.6855
FDG52,13.65,Frozen Foods,47.7402,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,40.95,0.081,52.5,93.531
FDL38,,Canned,88.4172,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,0,0.41,6,6.41
NCS54,13.6,Household,176.737,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,54.4,0.135,18,72.535
DRL37,15.5,Soft Drinks,41.577,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,23.25,0.135,6,29.385
FDA43,10.895,Fruits and Vegetables,196.6794,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,7.6265,0.027,30,37.6535
FDZ39,19.7,Meat,101.799,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,531.9,0.108,12,544.008
FDG45,8.1,Fruits and Vegetables,211.8902,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,5.67,0.027,30,35.697
FDH10,21,Snack Foods,195.0478,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,52.5,0.054,6,58.554
FDO10,13.65,Snack Foods,58.3588,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,34.125,0.054,6,40.179
FDS35,,Breads,63.2826,Plastic Bag/Paper Pouch,0.02,Haryana,Delhi,80,Truck,1.2,2.7,0.12,0,0.054,9.6,9.654
FDI41,,Frozen Foods,145.1418,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,0,0.081,52.5,52.581
FDN21,,Snack Foods,163.1236,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,0,0.054,6,6.054
NCO18,13.15,Household,176.8686,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,52.6,0.135,18,70.735
FDB34,15.25,Snack Foods,85.2198,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,38.125,0.054,6,44.179
FDD05,19.35,Frozen Foods,121.5098,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,58.05,0.081,52.5,110.631
FDX59,,Breads,33.0558,Plastic Bag/Paper Pouch,0.02,Haryana,Delhi,80,Truck,1.2,2.7,0.12,0,0.054,9.6,9.654
FDZ23,17.75,Baking Goods,185.424,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,35.5,0.054,6,41.554
FDX27,20.7,Dairy,92.7436,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,57.96,0.081,45,103.041
FDV07,9.5,Fruits and Vegetables,110.4228,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,6.65,0.027,30,36.677
FDR14,11.65,Dairy,55.5298,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,32.62,0.081,45,77.701
FDO01,21.1,Breakfast,128.7994,Plastic Pouch/Box,0.02,Karnataka,Bangalore,50,Truck,1.8,2.7,0.12,37.98,0.054,6,44.034
FDO13,7.865,Breakfast,166.3526,Plastic Pouch/Box,0.02,Karnataka,Bangalore,50,Truck,1.8,2.7,0.12,14.157,0.054,6,20.211
FDU25,12.35,Canned,57.0246,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,74.1,0.41,6,80.51
NCK54,,Household,114.715,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,0,0.135,18,18.135
FDZ56,16.25,Fruits and Vegetables,168.1474,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,11.375,0.027,30,41.402
NCL55,12.15,Others,253.704,Mixed (Default: Plastic),0.03,Delhi,Delhi,,Air,2,2.7,0.5,24.3,0.081,#VALUE!,#VALUE!
FDD59,10.5,Starchy Foods,78.296,Plastic Bag,0.02,Uttar Pradesh,Delhi,250,Truck,1.5,2.7,0.12,15.75,0.054,30,45.804
FDJ55,12.8,Meat,226.0404,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,345.6,0.108,12,357.708
FDA45,,Snack Foods,177.637,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,0,0.054,6,6.054
DRF23,4.61,Hard Drinks,172.8396,Glass Bottle,0.2,Goa,Mumbai,600,Train,2,0.85,0.04,9.22,0.17,24,33.39
FDT49,7,Canned,105.728,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,42,0.41,6,48.41
NCO17,10,Health and Hygiene,120.644,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,30,0.081,18,48.081
FDH22,6.405,Snack Foods,128.1678,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,16.0125,0.054,6,22.0665
FDT34,9.3,Snack Foods,104.2964,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,23.25,0.054,6,29.304
FDB39,11.6,Dairy,57.9272,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,32.48,0.081,45,77.561
FDQ22,16.75,Snack Foods,39.1822,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,41.875,0.054,6,47.929
NCN43,12.15,Others,122.973,Mixed (Default: Plastic),0.03,Delhi,Delhi,,Air,2,2.7,0.5,24.3,0.081,#VALUE!,#VALUE!
FDG57,14.7,Fruits and Vegetables,48.2034,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,10.29,0.027,30,40.317
FDR20,20,Fruits and Vegetables,46.7744,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,14,0.027,30,44.027
FDU22,,Snack Foods,120.2124,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,0,0.054,6,6.054
NCC43,7.39,Household,250.9066,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,29.56,0.135,18,47.695
FDP01,20.75,Breakfast,150.5682,Plastic Pouch/Box,0.02,Karnataka,Bangalore,50,Truck,1.8,2.7,0.12,37.35,0.054,6,43.404
FDF52,9.3,Frozen Foods,184.2292,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,27.9,0.081,52.5,80.481
FDZ33,10.195,Snack Foods,147.6076,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,25.4875,0.054,6,31.5415
FDP48,,Baking Goods,181.395,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,0,0.054,6,6.054
FDW56,7.68,Fruits and Vegetables,192.2162,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,5.376,0.027,30,35.403
FDC26,10.195,Canned,110.6886,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,61.17,0.41,6,67.58
FDF34,9.3,Snack Foods,200.0084,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,23.25,0.054,6,29.304
FDJ33,8.895,Snack Foods,123.473,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,22.2375,0.054,6,28.2915
FDD04,16,Dairy,143.2154,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,44.8,0.081,45,89.881
NCJ31,19.2,Others,239.2196,Mixed (Default: Plastic),0.03,Delhi,Delhi,,Air,2,2.7,0.5,38.4,0.081,#VALUE!,#VALUE!
FDO57,20.75,Snack Foods,161.7578,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,51.875,0.054,6,57.929
FDM36,,Baking Goods,172.1422,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,0,0.054,6,6.054
NCY05,13.5,Health and Hygiene,35.2874,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,40.5,0.081,18,58.581
FDS44,,Fruits and Vegetables,241.7538,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,0,0.027,30,30.027
FDZ39,19.7,Meat,101.199,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,531.9,0.108,12,544.008
NCM31,6.095,Others,143.3154,Mixed (Default: Plastic),0.03,Delhi,Delhi,,Air,2,2.7,0.5,12.19,0.081,#VALUE!,#VALUE!
DRK11,8.21,Hard Drinks,150.8392,Glass Bottle,0.2,Goa,Mumbai,600,Train,2,0.85,0.04,16.42,0.17,24,40.59
FDO34,17.7,Snack Foods,165.9816,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,44.25,0.054,6,50.304
NCL30,18.1,Household,127.3336,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,72.4,0.135,18,90.535
FDK28,5.695,Frozen Foods,259.2646,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,17.085,0.081,52.5,69.666
DRJ39,20.25,Dairy,219.3482,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,56.7,0.081,45,101.781
NCP06,,Household,152.3366,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,0,0.135,18,18.135
FDE33,,Fruits and Vegetables,80.3644,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,0,0.027,30,30.027
FDZ44,8.185,Fruits and Vegetables,115.6808,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,5.7295,0.027,30,35.7565
FDV46,18.2,Snack Foods,140.718,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,45.5,0.054,6,51.554
NCO06,19.25,Household,33.3558,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,77,0.135,18,95.135
DRG03,14.5,Dairy,154.4998,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,40.6,0.081,45,85.681
FDU37,9.5,Canned,80.196,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,57,0.41,6,63.41
FDI57,19.85,Seafood,196.8768,Vacuum-Sealed Pack/Plastic Tray,0.04,Kerala,Bangalore,500,Train,13,2.7,0.04,258.05,0.108,20,278.158
FDM45,8.655,Snack Foods,119.7756,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,21.6375,0.054,6,27.6915
FDC26,10.195,Canned,109.2886,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,61.17,0.41,6,67.58
FDU14,,Dairy,248.375,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,0,0.081,45,45.081
FDB26,14,Canned,51.464,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,84,0.41,6,90.41
FDC29,8.39,Frozen Foods,114.0176,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,25.17,0.081,52.5,77.751
FDY58,11.65,Snack Foods,228.9694,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,29.125,0.054,6,35.179
FDR59,14.5,Breads,260.4594,Plastic Bag/Paper Pouch,0.02,Haryana,Delhi,80,Truck,1.2,2.7,0.12,17.4,0.054,9.6,27.054
FDS03,,Meat,65.8826,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,0,0.108,12,12.108
FDR43,18.2,Fruits and Vegetables,38.319,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,12.74,0.027,30,42.767
FDZ25,,Canned,169.379,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,0,0.41,6,6.41
NCN26,10.85,Household,117.1808,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,43.4,0.135,18,61.535
FDO38,17.25,Canned,77.2986,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,103.5,0.41,6,109.91
FDP28,13.65,Frozen Foods,261.2936,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,40.95,0.081,52.5,93.531
FDG31,12.15,Meat,65.4826,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,328.05,0.108,12,340.158
FDI45,13.1,Fruits and Vegetables,176.1054,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,9.17,0.027,30,39.197
NCS54,13.6,Household,176.037,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,54.4,0.135,18,72.535
FDE17,20.1,Frozen Foods,152.2366,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,60.3,0.081,52.5,112.881
NCG06,16.35,Household,257.6646,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,65.4,0.135,18,83.535
FDQ57,,Snack Foods,144.476,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,0,0.054,6,6.054
NCB31,6.235,Household,263.991,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,24.94,0.135,18,43.075
NCP29,8.42,Health and Hygiene,65.8168,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,25.26,0.081,18,43.341
NCX29,,Health and Hygiene,144.3102,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,0,0.081,18,18.081
FDU37,9.5,Canned,78.796,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,57,0.41,6,63.41
FDM02,12.5,Canned,86.0198,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,75,0.41,6,81.41
FDN16,12.6,Frozen Foods,102.199,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,37.8,0.081,52.5,90.381
FDR46,16.85,Snack Foods,147.476,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,42.125,0.054,6,48.179
FDE50,,Canned,189.3556,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,0,0.41,6,6.41
FDL52,6.635,Frozen Foods,39.8506,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,19.905,0.081,52.5,72.486
FDQ49,20.2,Breakfast,157.663,Plastic Pouch/Box,0.02,Karnataka,Bangalore,50,Truck,1.8,2.7,0.12,36.36,0.054,6,42.414
FDI14,14.1,Canned,140.2496,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,84.6,0.41,6,91.01
FDS16,15.15,Frozen Foods,145.676,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,45.45,0.081,52.5,98.031
FDU15,13.65,Meat,37.9532,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,368.55,0.108,12,380.658
NCG43,,Household,94.0462,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,0,0.135,18,18.135
FDR23,,Breads,177.837,Plastic Bag/Paper Pouch,0.02,Haryana,Delhi,80,Truck,1.2,2.7,0.12,0,0.054,9.6,9.654
FDS52,,Frozen Foods,102.1016,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,0,0.081,52.5,52.581
NCP18,12.15,Household,151.9708,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,48.6,0.135,18,66.735
DRF23,,Hard Drinks,172.8396,Glass Bottle,0.2,Goa,Mumbai,600,Train,2,0.85,0.04,0,0.17,24,24.17
FDO09,13.5,Snack Foods,262.191,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,33.75,0.054,6,39.804
FDB40,17.5,Dairy,145.9102,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,49,0.081,45,94.081
DRK37,,Soft Drinks,189.453,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,0,0.135,6,6.135
DRN11,7.85,Hard Drinks,145.2444,Glass Bottle,0.2,Goa,Mumbai,600,Train,2,0.85,0.04,15.7,0.17,24,39.87
FDE22,9.695,Snack Foods,159.692,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,24.2375,0.054,6,30.2915
FDF04,17.5,Frozen Foods,256.4304,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,52.5,0.081,52.5,105.081
FDE41,9.195,Frozen Foods,83.1566,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,27.585,0.081,52.5,80.166
FDW08,,Fruits and Vegetables,106.028,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,0,0.027,30,30.027
NCD54,21.1,Household,143.4786,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,84.4,0.135,18,102.535
FDZ33,10.195,Snack Foods,146.5076,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,25.4875,0.054,6,31.5415
FDO23,17.85,Breads,93.8436,Plastic Bag/Paper Pouch,0.02,Haryana,Delhi,80,Truck,1.2,2.7,0.12,21.42,0.054,9.6,31.074
FDN34,15.6,Snack Foods,167.1132,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,39,0.054,6,45.054
FDL39,16.1,Dairy,182.1318,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,45.08,0.081,45,90.161
FDT28,13.3,Frozen Foods,151.6708,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,39.9,0.081,52.5,92.481
FDH33,12.85,Snack Foods,45.9428,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,32.125,0.054,6,38.179
FDA34,11.5,Starchy Foods,171.808,Plastic Bag,0.02,Uttar Pradesh,Delhi,250,Truck,1.5,2.7,0.12,17.25,0.054,30,47.304
FDZ56,16.25,Fruits and Vegetables,166.4474,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,11.375,0.027,30,41.402
DRH23,14.65,Hard Drinks,54.0614,Glass Bottle,0.2,Goa,Mumbai,600,Train,2,0.85,0.04,29.3,0.17,24,53.47
NCO18,13.15,Household,177.4686,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,52.6,0.135,18,70.735
DRG27,8.895,Dairy,42.0138,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,24.906,0.081,45,69.987
FDM28,15.7,Frozen Foods,181.366,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,47.1,0.081,52.5,99.681
NCY41,16.75,Health and Hygiene,35.7532,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,50.25,0.081,18,68.331
FDD21,10.3,Fruits and Vegetables,114.4176,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,7.21,0.027,30,37.237
FDD44,8.05,Fruits and Vegetables,257.1646,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,5.635,0.027,30,35.662
